#Output File:20260102_2219 
#(Model(lorentzian, prefix='g_') + Model(lorentzian, prefix='d1_'))
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.90      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.90      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d3   Gaussian       1500      63.7          0.25      NaN         1450.0         1570.0           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,d3_amplitude,d3_center,d3_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,init_d3_amplitude,init_d3_center,init_d3_sigma,placeholder
selected_31624_20160825_184739_26.0_32.0.txt,NaN,NaN,271.9111,0.1779,9.1579e+04,1.5885e+03,2.8547e+01,3.2556e+05,1.3179e+03,6.0187e+01,4.8407e+04,1.5366e+03,5.8600e+01,2.2e+03,4.6e+01,5.8e+05,2.2e+03,2.1e+03,2.1e+03,,1.1630e+05,1.6000e+03,3.5000e+01,4.1706e+05,1.3300e+03,8.7500e+01,1.9662e+04,1.5000e+03,6.3700e+01,
selected_36980_20160825_113352_10.0_20.0.txt,NaN,NaN,510.0238,-0.2248,1.6926e+04,1.5860e+03,3.5520e+01,1.8051e+05,1.3072e+03,7.5524e+01,5.0861e-05,1.4541e+03,3.7858e+02,7.9e+02,2.8e+01,2.1e+05,8.2e+02,1.8e+03,1.9e+03,,1.9237e+04,1.6000e+03,3.5000e+01,1.7270e+05,1.3300e+03,8.7500e+01,5.8522e+03,1.5000e+03,6.3700e+01,
selected_36982_20160825_113352_10.0_22.0.txt,NaN,NaN,1847.2163,-0.7996,1.4664e+04,1.5844e+03,2.2329e+01,4.9028e+05,1.3014e+03,6.9993e+01,2.3518e+05,1.4500e+03,4.9463e+03,7.6e+03,8.7e+01,2.0e+06,7.8e+03,2.4e+03,2.5e+03,,2.9584e+04,1.6000e+03,3.5000e+01,4.7823e+05,1.3300e+03,8.7500e+01,1.0178e+04,1.5000e+03,6.3700e+01,
selected_3914_20160825_191905_20.0_42.0.txt,NaN,NaN,19075.1117,0.4425,9.1028e+04,1.5777e+03,5.8503e+01,2.2203e+05,1.2525e+03,9.8670e+01,5.9109e+05,1.4500e+03,1.3287e+02,2.9e+04,1.7e+02,7.9e+06,3.0e+04,2.8e+03,2.8e+03,,1.3260e+05,1.6000e+03,3.5000e+01,3.6366e+05,1.3300e+03,8.7500e+01,7.8122e+04,1.5000e+03,6.3700e+01,
selected_43052_20160825_180008_22.0_20.0.txt,NaN,NaN,6043.1314,0.1023,2.6094e+05,1.5870e+03,3.9029e+01,1.0649e+06,1.2776e+03,1.3184e+02,6.5706e+05,1.4500e+03,1.1399e+02,4.5e+04,2.1e+02,1.2e+07,4.6e+04,2.9e+03,2.9e+03,,3.2120e+05,1.6000e+03,3.5000e+01,9.0349e+05,1.3300e+03,8.7500e+01,1.2232e+05,1.5000e+03,6.3700e+01,
selected_4424_20160825_191905_44.0_24.0.txt,NaN,NaN,30.4124,0.0093,9.1625e+03,1.6020e+03,2.5637e+01,6.6751e+04,1.3322e+03,9.6758e+01,1.1233e+04,1.5563e+03,5.7752e+01,2.2e+02,1.5e+01,6.0e+04,2.3e+02,1.5e+03,1.5e+03,,1.8993e+04,1.6000e+03,3.5000e+01,5.3729e+04,1.3300e+03,8.7500e+01,4.1858e+03,1.5000e+03,6.3700e+01,
selected_44428_20160825_095858_32.0_32.0.txt,NaN,NaN,225.5845,-0.0439,3.8901e+03,1.6007e+03,1.9723e+01,7.8280e+03,1.3172e+03,4.3875e+01,1.3349e+04,1.4919e+03,1.1392e+02,3.0e+02,1.7e+01,8.1e+04,3.1e+02,1.6e+03,1.6e+03,,9.1646e+03,1.6000e+03,3.5000e+01,1.5519e+04,1.3300e+03,8.7500e+01,2.1813e+03,1.5000e+03,6.3700e+01,
selected_4494_20160825_191905_48.0_6.0.txt,NaN,NaN,23821.8023,-4.0107,6.4791e+04,1.6234e+03,5.9456e+01,7.0438e+04,1.2589e+03,6.3708e+01,4.0633e+05,1.4555e+03,1.3110e+02,1.8e+04,1.4e+02,5.0e+06,1.9e+04,2.7e+03,2.7e+03,,8.4566e+04,1.6000e+03,3.5000e+01,1.9889e+05,1.3300e+03,8.7500e+01,5.2303e+04,1.5000e+03,6.3700e+01,
selected_50840_20160825_152129_8.0_20.0.txt,NaN,NaN,2115.4123,-0.4016,1.6464e+05,1.5940e+03,2.7433e+01,7.8177e+05,1.3245e+03,6.8669e+01,7.6905e+04,1.5211e+03,6.2743e+01,1.5e+04,1.2e+02,4.1e+06,1.6e+04,2.6e+03,2.6e+03,,2.1726e+05,1.6000e+03,3.5000e+01,9.3217e+05,1.3300e+03,8.7500e+01,4.1660e+04,1.5000e+03,6.3700e+01,
selected_57832_20160825_103020_6.0_16.0.txt,NaN,NaN,951.5507,0.0911,5.2138e+02,1.6946e+03,4.0856e+00,3.7998e+04,1.2607e+03,9.6963e+01,3.1601e+04,1.4500e+03,1.1037e+02,5.2e+02,2.3e+01,1.4e+05,5.4e+02,1.7e+03,1.7e+03,,4.3607e+03,1.6000e+03,3.5000e+01,3.5267e+04,1.3300e+03,8.7500e+01,4.6183e+03,1.5000e+03,6.3700e+01,
selected_63471_20160825_132338_0.0_23.0.txt,NaN,NaN,51.6479,0.0716,2.6956e+04,1.6008e+03,8.4034e+01,3.6312e+04,1.3588e+03,9.6881e+01,9.9530e+03,1.4763e+03,1.2640e+01,5.9e+02,2.4e+01,1.6e+05,6.1e+02,1.7e+03,1.8e+03,,1.1770e+04,1.6000e+03,3.5000e+01,3.1517e+04,1.3300e+03,8.7500e+01,6.0519e+03,1.5000e+03,6.3700e+01,
selected_68027_20160825_160911_2.0_3.0.txt,NaN,NaN,12.6049,0.0187,3.6456e+03,1.5902e+03,3.2568e+01,4.3050e+03,1.3162e+03,3.9850e+01,2.5252e+03,1.4500e+03,9.1827e+01,1.2e+02,1.1e+01,3.1e+04,1.2e+02,1.3e+03,1.3e+03,,3.3170e+03,1.6000e+03,3.5000e+01,7.9850e+03,1.3300e+03,8.7500e+01,4.1700e+02,1.5000e+03,6.3700e+01,
selected_88054_20160825_234758_18.0_10.0.txt,NaN,NaN,1014.8581,0.3500,8.2470e+04,1.6023e+03,2.0587e+01,4.8486e+05,1.3310e+03,9.6278e+01,4.4743e+04,1.5700e+03,4.0817e+01,8.4e+03,8.9e+01,2.3e+06,8.7e+03,2.5e+03,2.5e+03,,1.6530e+05,1.6000e+03,3.5000e+01,4.0952e+05,1.3300e+03,8.7500e+01,2.4289e+04,1.5000e+03,6.3700e+01,
selected_8837_20160825_094326_34.0_37.0.txt,NaN,NaN,406.8371,-0.0910,6.9513e+04,1.6007e+03,2.4419e+01,4.6622e+05,1.3259e+03,8.1886e+01,6.7690e+04,1.5585e+03,5.2942e+01,3.2e+03,5.5e+01,8.8e+05,3.4e+03,2.2e+03,2.2e+03,,1.3475e+05,1.6000e+03,3.5000e+01,4.5462e+05,1.3300e+03,8.7500e+01,2.5706e+04,1.5000e+03,6.3700e+01,
selected_96065_20160825_063250_14.0_13.0.txt,NaN,NaN,329.2569,0.0687,1.8751e+04,1.5910e+03,4.9522e+01,7.2275e+04,1.3127e+03,5.8243e+01,7.7564e+03,1.4592e+03,5.3156e+01,4.3e+02,2.1e+01,1.2e+05,4.4e+02,1.7e+03,1.7e+03,,1.2817e+04,1.6000e+03,3.5000e+01,9.0176e+04,1.3300e+03,8.7500e+01,4.0751e+03,1.5000e+03,6.3700e+01,
selected_96919_20160825_001238_0.0_31.0.txt,NaN,NaN,70.7149,0.1761,2.1571e+04,1.5765e+03,8.5352e+00,3.3009e+04,1.3305e+03,4.4053e+01,1.0488e+04,1.5700e+03,7.0111e+01,4.6e+02,2.2e+01,1.3e+05,4.8e+02,1.7e+03,1.7e+03,,1.7444e+04,1.6000e+03,3.5000e+01,6.1526e+04,1.3300e+03,8.7500e+01,2.5703e+03,1.5000e+03,6.3700e+01,
#0:00:22.891093
